1 -> 35327 | media : 11.430436
2 -> 23240 | media : 16.028141
3 -> 14443 | media : 50.866094
4 -> 8973 | media : 47.613842
5 -> 5613 | media : 51.672368
6 -> 3648 | media : 104.747259
7 -> 2593 | media : 39.729271
8 -> 2104 | media : 380.229563
9 -> 2004 | media : 104.179142
10 -> 1872 | media : 737.175214
11 -> 1811 | media : 115.028161
12 -> 1704 | media : 116.859742
13 -> 1665 | media : 294.668468
14 -> 1556 | media : 225.710797
15 -> 1394 | media : 58.741750
16 -> 1198 | media : 69.473289
17 -> 1149 | media : 441.471715
18 -> 943 | media : 149.203606
19 -> 896 | media : 300.370536
20 -> 786 | media : 303.362595
21 -> 638 | media : 486.595611
22 -> 481 | media : 641.151767
23 -> 454 | media : 313.341410
24 -> 365 | media : 985.676712
25 -> 250 | media : 659.992000
26 -> 171 | media : 308.339181
27 -> 132 | media : 1037.469697
28 -> 90 | media : 722.888889
29 -> 80 | media : 546.150000
30 -> 64 | media : 1275.703125
31 -> 32 | media : 2717.656250
32 -> 19 | media : 3635.736842
33 -> 30 | media : 994.633333
34 -> 31 | media : 212.580645
35 -> 27 | media : 68.222222
36 -> 12 | media : 3392.916667
37 -> 3 | media : 4511.000000
202 -> 2 | media : 1167.500000
203 -> 3 | media : 492.333333
204 -> 4 | media : 1740.000000
205 -> 2 | media : 510.500000
208 -> 1 | media : 22215.000000
209 -> 2 | media : 1191.500000
210 -> 11 | media : 1260.545455
211 -> 12 | media : 197.833333
212 -> 18 | media : 258.277778
213 -> 28 | media : 85.678571
214 -> 32 | media : 397.562500
215 -> 46 | media : 728.347826
216 -> 63 | media : 653.158730
217 -> 71 | media : 510.577465
218 -> 109 | media : 427.100917
219 -> 108 | media : 304.740741
220 -> 115 | media : 322.591304
221 -> 124 | media : 508.588710
222 -> 150 | media : 357.120000
223 -> 173 | media : 479.242775
224 -> 175 | media : 628.034286
225 -> 191 | media : 396.879581
226 -> 167 | media : 542.688623
227 -> 221 | media : 592.746606
228 -> 287 | media : 434.696864
229 -> 339 | media : 905.348083
230 -> 378 | media : 308.470899
231 -> 410 | media : 577.470732
232 -> 484 | media : 128.090909
233 -> 527 | media : 272.314991
234 -> 552 | media : 536.768116
235 -> 692 | media : 101.395954
236 -> 790 | media : 110.900000
237 -> 825 | media : 413.768485
238 -> 1007 | media : 284.086395
239 -> 1072 | media : 222.061567
240 -> 1224 | media : 260.131536
241 -> 1220 | media : 195.938525
242 -> 1383 | media : 92.534346
243 -> 1432 | media : 129.157123
244 -> 1594 | media : 203.165621
245 -> 1664 | media : 124.769832
246 -> 1748 | media : 172.574943
247 -> 1841 | media : 341.780554
248 -> 1745 | media : 347.769054
249 -> 1804 | media : 69.822616
250 -> 1779 | media : 750.511523
251 -> 1516 | media : 157.003298
252 -> 1405 | media : 519.039858
253 -> 1327 | media : 101.876413
254 -> 1208 | media : 1412.110927
255 -> 1023 | media : 356.441838
256 -> 1019 | media : 175.827282
257 -> 895 | media : 449.387709
258 -> 735 | media : 677.549660
259 -> 675 | media : 179.432593
260 -> 569 | media : 263.553603
261 -> 479 | media : 589.747390
262 -> 434 | media : 136.313364
263 -> 356 | media : 496.941011
264 -> 280 | media : 288.278571
265 -> 242 | media : 1339.438017
266 -> 225 | media : 279.115556
267 -> 201 | media : 272.348259
268 -> 124 | media : 267.733871
269 -> 105 | media : 405.600000
270 -> 80 | media : 723.725000
271 -> 67 | media : 691.686567
272 -> 38 | media : 1097.736842
273 -> 31 | media : 395.838710
274 -> 22 | media : 231.681818
275 -> 9 | media : 701.777778
276 -> 5 | media : 3269.600000
277 -> 5 | media : 4002.000000
278 -> 5 | media : 3896.800000
279 -> 6 | media : 1182.666667
280 -> 4 | media : 3649.000000
281 -> 5 | media : 3319.600000
282 -> 2 | media : 9071.500000
283 -> 1 | media : 12646.000000
