1 -> 426 | media : 111.352113
2 -> 213 | media : 220.544601
3 -> 95 | media : 868.778947
4 -> 47 | media : 2258.297872
5 -> 22 | media : 2128.454545
6 -> 5 | media : 9395.800000
7 -> 9 | media : 5238.666667
8 -> 8 | media : 4368.500000
9 -> 1 | media : 39724.000000
13 -> 1 | media : 8017.000000
14 -> 4 | media : 4876.000000
15 -> 7 | media : 5465.857143
16 -> 7 | media : 5467.000000
17 -> 2 | media : 5220.000000
18 -> 2 | media : 9761.500000
19 -> 1 | media : 19319.000000
25 -> 1 | media : 19304.000000
286 -> 1 | media : 19304.000000
292 -> 1 | media : 19319.000000
293 -> 1 | media : 19360.000000
294 -> 5 | media : 3904.600000
295 -> 3 | media : 11561.333333
296 -> 3 | media : 19227.000000
297 -> 5 | media : 7644.600000
298 -> 4 | media : 678.250000
299 -> 3 | media : 12753.666667
303 -> 1 | media : 35078.000000
304 -> 5 | media : 7944.800000
305 -> 6 | media : 5877.333333
306 -> 10 | media : 5142.100000
307 -> 24 | media : 1472.291667
308 -> 38 | media : 2162.210526
309 -> 63 | media : 1318.476190
310 -> 95 | media : 2643.778947
311 -> 132 | media : 2080.363636
312 -> 164 | media : 1978.792683
313 -> 162 | media : 275.641975
314 -> 114 | media : 1532.403509
315 -> 59 | media : 7074.355932
