1 -> 110912 | media : 1.194632
2 -> 71374 | media : 2.022333
3 -> 44949 | media : 2.750206
4 -> 30697 | media : 7.734567
5 -> 23243 | media : 6.795121
6 -> 17768 | media : 9.212855
7 -> 13478 | media : 8.618860
8 -> 10584 | media : 7.591553
9 -> 8662 | media : 10.161279
10 -> 7158 | media : 12.302878
11 -> 6439 | media : 13.784594
12 -> 5887 | media : 14.448276
13 -> 5190 | media : 14.749904
14 -> 4627 | media : 13.404798
15 -> 4176 | media : 15.457854
16 -> 4008 | media : 18.306387
17 -> 3803 | media : 12.983434
18 -> 3478 | media : 19.784359
19 -> 3011 | media : 21.167054
20 -> 2600 | media : 23.976538
21 -> 2270 | media : 23.776652
22 -> 1980 | media : 28.109091
23 -> 1731 | media : 32.378394
24 -> 1419 | media : 36.387597
25 -> 1234 | media : 38.206645
26 -> 1027 | media : 40.287244
27 -> 886 | media : 31.366817
28 -> 747 | media : 35.069612
29 -> 624 | media : 42.721154
30 -> 466 | media : 72.826180
31 -> 394 | media : 90.700508
32 -> 276 | media : 91.692029
33 -> 229 | media : 149.720524
34 -> 205 | media : 91.043902
35 -> 181 | media : 73.801105
36 -> 147 | media : 135.142857
37 -> 133 | media : 85.969925
38 -> 110 | media : 103.836364
39 -> 96 | media : 128.947917
40 -> 73 | media : 148.315068
41 -> 60 | media : 86.516667
42 -> 44 | media : 78.159091
43 -> 46 | media : 135.956522
44 -> 29 | media : 240.103448
45 -> 39 | media : 111.179487
46 -> 49 | media : 188.183673
47 -> 36 | media : 216.472222
48 -> 42 | media : 125.666667
49 -> 46 | media : 58.413043
50 -> 39 | media : 281.307692
51 -> 32 | media : 182.156250
52 -> 31 | media : 85.258065
53 -> 45 | media : 129.622222
54 -> 42 | media : 73.404762
55 -> 36 | media : 56.416667
56 -> 43 | media : 40.162791
57 -> 11 | media : 77.454545
58 -> 37 | media : 72.486486
59 -> 21 | media : 27.904762
60 -> 31 | media : 45.032258
61 -> 35 | media : 54.371429
62 -> 26 | media : 72.576923
63 -> 24 | media : 79.541667
64 -> 40 | media : 41.800000
65 -> 35 | media : 92.485714
66 -> 33 | media : 76.575758
67 -> 37 | media : 101.837838
68 -> 43 | media : 107.395349
69 -> 45 | media : 59.822222
70 -> 48 | media : 61.458333
71 -> 53 | media : 55.075472
72 -> 46 | media : 45.500000
73 -> 66 | media : 47.727273
74 -> 82 | media : 82.707317
75 -> 85 | media : 23.564706
76 -> 97 | media : 48.144330
77 -> 76 | media : 42.434211
78 -> 116 | media : 43.293103
79 -> 102 | media : 43.911765
80 -> 110 | media : 52.818182
81 -> 121 | media : 64.925620
82 -> 138 | media : 28.463768
83 -> 124 | media : 68.435484
84 -> 171 | media : 57.099415
85 -> 175 | media : 35.331429
86 -> 171 | media : 46.187135
87 -> 186 | media : 48.338710
88 -> 186 | media : 53.897849
89 -> 251 | media : 49.988048
90 -> 262 | media : 55.522901
91 -> 263 | media : 53.577947
92 -> 295 | media : 60.000000
93 -> 294 | media : 45.649660
94 -> 272 | media : 50.058824
95 -> 254 | media : 51.854331
96 -> 268 | media : 66.369403
97 -> 293 | media : 54.556314
98 -> 295 | media : 49.718644
99 -> 327 | media : 53.113150
100 -> 299 | media : 66.682274
101 -> 356 | media : 65.550562
102 -> 373 | media : 50.085791
103 -> 396 | media : 54.010101
104 -> 447 | media : 43.183445
105 -> 429 | media : 52.174825
106 -> 482 | media : 49.512448
107 -> 486 | media : 40.722222
108 -> 516 | media : 48.596899
109 -> 544 | media : 43.858456
110 -> 643 | media : 44.986003
111 -> 617 | media : 50.800648
112 -> 687 | media : 37.307132
113 -> 710 | media : 58.881690
114 -> 721 | media : 41.682386
115 -> 770 | media : 46.028571
116 -> 748 | media : 36.125668
117 -> 784 | media : 34.030612
118 -> 892 | media : 36.970852
119 -> 912 | media : 33.024123
120 -> 870 | media : 34.363218
121 -> 934 | media : 31.138116
122 -> 960 | media : 29.295833
123 -> 965 | media : 27.983420
124 -> 1009 | media : 33.311199
125 -> 1035 | media : 34.541063
126 -> 1113 | media : 31.510332
127 -> 1130 | media : 27.925664
128 -> 1281 | media : 28.819672
129 -> 1356 | media : 28.401917
130 -> 1368 | media : 26.899123
131 -> 1433 | media : 27.174459
132 -> 1426 | media : 32.764376
133 -> 1557 | media : 29.999358
134 -> 1596 | media : 32.681078
135 -> 1606 | media : 29.420299
136 -> 1750 | media : 25.073143
137 -> 1660 | media : 32.649398
138 -> 1842 | media : 27.692725
139 -> 1800 | media : 23.744444
140 -> 1864 | media : 24.687768
141 -> 1884 | media : 26.305202
142 -> 1942 | media : 25.405767
143 -> 2014 | media : 26.024826
144 -> 2091 | media : 20.079866
145 -> 2128 | media : 20.557801
146 -> 2166 | media : 24.396584
147 -> 2112 | media : 26.305398
148 -> 2117 | media : 24.448276
149 -> 2190 | media : 25.183562
150 -> 2325 | media : 22.421075
151 -> 2322 | media : 26.036606
152 -> 2381 | media : 26.265015
153 -> 2452 | media : 20.718597
154 -> 2468 | media : 29.429903
155 -> 2241 | media : 25.382865
156 -> 2247 | media : 30.385403
157 -> 2193 | media : 24.382125
158 -> 2205 | media : 24.928345
159 -> 2212 | media : 22.023056
160 -> 2089 | media : 24.532791
161 -> 1978 | media : 23.666330
162 -> 1982 | media : 27.556509
163 -> 1890 | media : 25.961376
164 -> 1849 | media : 31.844240
165 -> 1790 | media : 29.577095
