1 -> 62009 | media : 2.515538
2 -> 37495 | media : 8.226243
3 -> 23772 | media : 6.014555
4 -> 16150 | media : 6.732446
5 -> 12367 | media : 6.040188
6 -> 9310 | media : 6.261439
7 -> 7030 | media : 5.552774
8 -> 5656 | media : 5.599717
9 -> 4684 | media : 4.198548
10 -> 3886 | media : 3.295677
11 -> 3372 | media : 2.309905
12 -> 3171 | media : 2.208767
13 -> 3144 | media : 1.925573
14 -> 2904 | media : 2.347452
15 -> 2685 | media : 2.170205
16 -> 2522 | media : 1.902855
17 -> 2284 | media : 2.222417
18 -> 2085 | media : 2.234532
19 -> 1989 | media : 2.036702
20 -> 1724 | media : 1.854988
21 -> 1623 | media : 2.195317
22 -> 1494 | media : 2.277778
23 -> 1265 | media : 2.233202
24 -> 994 | media : 1.967807
25 -> 818 | media : 2.070905
26 -> 666 | media : 1.636637
27 -> 584 | media : 1.510274
28 -> 506 | media : 1.590909
29 -> 408 | media : 1.345588
30 -> 370 | media : 1.235135
31 -> 280 | media : 1.385714
32 -> 240 | media : 0.991667
33 -> 171 | media : 0.883041
34 -> 169 | media : 1.065089
35 -> 135 | media : 1.088889
36 -> 104 | media : 0.721154
37 -> 70 | media : 0.728571
38 -> 70 | media : 1.214286
39 -> 34 | media : 1.176471
40 -> 42 | media : 1.166667
41 -> 22 | media : 1.090909
42 -> 15 | media : 0.733333
43 -> 16 | media : 0.437500
44 -> 9 | media : 0.333333
45 -> 6 | media : 0.500000
46 -> 8 | media : 0.750000
47 -> 9 | media : 0.888889
48 -> 11 | media : 1.363636
49 -> 6 | media : 1.666667
50 -> 8 | media : 0.500000
51 -> 11 | media : 0.636364
52 -> 20 | media : 0.450000
53 -> 16 | media : 0.375000
54 -> 11 | media : 0.454545
55 -> 5 | media : 0.600000
56 -> 2 | media : 0.500000
57 -> 3 | media : 0.333333
58 -> 3 | media : 2.666667
59 -> 2 | media : 0.500000
60 -> 3 | media : 0.333333
61 -> 3 | media : 0.666667
62 -> 2 | media : 1.000000
63 -> 3 | media : 0.000000
64 -> 1 | media : 1.000000
65 -> 1 | media : 1.000000
66 -> 1 | media : 0.000000
67 -> 2 | media : 0.000000
75 -> 3 | media : 0.666667
76 -> 1 | media : 0.000000
77 -> 3 | media : 0.666667
78 -> 1 | media : 0.000000
79 -> 1 | media : 1.000000
83 -> 1 | media : 1.000000
85 -> 5 | media : 0.200000
87 -> 1 | media : 0.000000
88 -> 1 | media : 0.000000
89 -> 2 | media : 0.500000
93 -> 1 | media : 1.000000
94 -> 2 | media : 0.000000
95 -> 3 | media : 0.333333
97 -> 3 | media : 0.333333
98 -> 2 | media : 0.500000
99 -> 2 | media : 0.000000
100 -> 4 | media : 0.250000
102 -> 2 | media : 0.000000
103 -> 5 | media : 0.800000
104 -> 2 | media : 1.500000
105 -> 2 | media : 0.000000
106 -> 3 | media : 0.000000
107 -> 9 | media : 1.222222
108 -> 17 | media : 0.941176
109 -> 17 | media : 0.470588
110 -> 23 | media : 0.695652
