2014/2/1
1 -> 222 | media : 7.189189
2 -> 91 | media : 4.714286
3 -> 31 | media : 3.967742
4 -> 25 | media : 3.240000
5 -> 20 | media : 3.350000
6 -> 16 | media : 1.375000
7 -> 18 | media : 1.055556
8 -> 12 | media : 0.416667
9 -> 4 | media : 4.250000
10 -> 7 | media : 0.285714
11 -> 2 | media : 0.000000
12 -> 1 | media : 0.000000
14 -> 2 | media : 0.500000
15 -> 2 | media : 0.000000
16 -> 1 | media : 0.000000
17 -> 4 | media : 0.750000
18 -> 4 | media : 0.250000
19 -> 4 | media : 0.250000
20 -> 7 | media : 2.285714
21 -> 3 | media : 0.666667
22 -> 3 | media : 0.000000
23 -> 2 | media : 0.000000
24 -> 3 | media : 0.000000
25 -> 4 | media : 0.000000
26 -> 2 | media : 0.500000
27 -> 1 | media : 0.000000
28 -> 4 | media : 0.250000
29 -> 3 | media : 0.333333
30 -> 2 | media : 0.000000
31 -> 2 | media : 0.000000
32 -> 3 | media : 0.333333
33 -> 5 | media : 0.000000
34 -> 4 | media : 0.250000
35 -> 1 | media : 0.000000
36 -> 2 | media : 0.500000
40 -> 1 | media : 0.000000
41 -> 3 | media : 0.000000
43 -> 1 | media : 0.000000
44 -> 1 | media : 0.000000
45 -> 3 | media : 0.000000
46 -> 5 | media : 0.400000
47 -> 4 | media : 0.500000
48 -> 6 | media : 0.000000
49 -> 2 | media : 0.000000
50 -> 3 | media : 0.000000
51 -> 4 | media : 0.250000
53 -> 3 | media : 0.000000
54 -> 3 | media : 0.000000
56 -> 1 | media : 0.000000
57 -> 3 | media : 0.333333
58 -> 4 | media : 0.000000
59 -> 1 | media : 0.000000
60 -> 1 | media : 1.000000
2014/2/1
1 -> 79 | media : 20.354430
2 -> 50 | media : 8.260000
3 -> 28 | media : 3.964286
4 -> 14 | media : 8.285714
5 -> 10 | media : 3.500000
6 -> 10 | media : 2.400000
7 -> 6 | media : 3.000000
8 -> 9 | media : 0.888889
9 -> 6 | media : 3.000000
10 -> 4 | media : 0.250000
11 -> 6 | media : 0.500000
