2014/2/1
1 -> 14757 | media : 4.568069
2 -> 9126 | media : 13.792352
3 -> 4135 | media : 4.925756
4 -> 2563 | media : 1.946937
5 -> 2017 | media : 2.519584
6 -> 1499 | media : 3.625751
7 -> 1204 | media : 1.498339
8 -> 947 | media : 1.171067
9 -> 703 | media : 0.567568
10 -> 565 | media : 0.692035
11 -> 436 | media : 0.557339
12 -> 286 | media : 0.545455
13 -> 200 | media : 0.350000
14 -> 136 | media : 0.330882
15 -> 89 | media : 0.337079
16 -> 71 | media : 0.352113
17 -> 66 | media : 0.227273
18 -> 59 | media : 1.169492
19 -> 63 | media : 4.698413
20 -> 65 | media : 5.861538
21 -> 47 | media : 8.382979
22 -> 29 | media : 6.482759
23 -> 18 | media : 7.277778
24 -> 5 | media : 3.800000
25 -> 6 | media : 1.000000
26 -> 1 | media : 1.000000
27 -> 2 | media : 0.500000
30 -> 2 | media : 0.500000
2014/2/2
1 -> 15105 | media : 4.429129
2 -> 9545 | media : 12.575904
3 -> 4426 | media : 5.277677
4 -> 2732 | media : 3.348463
5 -> 2035 | media : 2.087961
6 -> 1630 | media : 1.689571
7 -> 1125 | media : 2.099556
8 -> 768 | media : 2.315104
9 -> 522 | media : 0.561303
10 -> 366 | media : 0.576503
11 -> 320 | media : 0.565625
12 -> 293 | media : 0.692833
13 -> 301 | media : 0.588040
14 -> 265 | media : 0.581132
15 -> 224 | media : 0.513393
16 -> 164 | media : 0.439024
17 -> 112 | media : 0.500000
18 -> 72 | media : 1.541667
19 -> 62 | media : 2.145161
20 -> 49 | media : 8.367347
21 -> 45 | media : 6.933333
22 -> 43 | media : 4.186047
23 -> 37 | media : 4.702703
24 -> 36 | media : 1.805556
25 -> 23 | media : 2.347826
26 -> 18 | media : 2.444444
27 -> 11 | media : 1.181818
28 -> 3 | media : 5.333333
29 -> 3 | media : 0.666667
30 -> 4 | media : 2.250000
31 -> 3 | media : 1.333333
38 -> 1 | media : 0.000000
40 -> 1 | media : 1.000000
41 -> 1 | media : 0.000000
2014/2/3
1 -> 19936 | media : 2.721810
2 -> 12426 | media : 9.079913
3 -> 5868 | media : 4.033572
4 -> 3509 | media : 2.367911
5 -> 2596 | media : 1.885208
6 -> 2070 | media : 1.785507
7 -> 1456 | media : 1.478709
8 -> 1008 | media : 0.898810
9 -> 773 | media : 0.499353
10 -> 627 | media : 0.508772
11 -> 564 | media : 0.597518
12 -> 498 | media : 0.574297
13 -> 437 | media : 0.643021
